Arquitectura,Etapa,Generador,Visto,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
EfficientNet-B0,FT-2,SDXL,True,42,0.7119047619047619,0.638112973308504,0.979047619047619,0.44476190476190475,0.7726418639609169,0.9189215419501134,1028,22,583,467
EfficientNet-B0,FT-2,SDXL,True,123,0.8166666666666667,0.7390366642703091,0.979047619047619,0.6542857142857142,0.842277755018435,0.9712408163265308,1028,22,363,687
EfficientNet-B0,FT-2,SDXL,True,2024,0.7871428571428571,0.7086505190311418,0.9752380952380952,0.599047619047619,0.8208416833667335,0.9561614512471655,1024,26,421,629
EfficientNet-B0,FT-2,Flux,False,42,0.7223809523809523,0.6429883649724434,1.0,0.44476190476190475,0.7827059262020126,0.981334693877551,1050,0,583,467
EfficientNet-B0,FT-2,Flux,False,123,0.8266666666666667,0.7429178470254958,0.9990476190476191,0.6542857142857142,0.8521527213647441,0.995033560090703,1049,1,363,687
EfficientNet-B0,FT-2,Flux,False,2024,0.799047619047619,0.7136054421768707,0.9990476190476191,0.599047619047619,0.8325396825396826,0.9926594104308392,1049,1,421,629
EfficientNet-B0,FT-3,StyleGAN2,True,42,0.7838095238095238,0.6984021304926764,0.9990476190476191,0.5685714285714286,0.8221003134796239,0.9949845804988663,1049,1,453,597
EfficientNet-B0,FT-3,StyleGAN2,True,123,0.8295238095238096,0.7457386363636364,1.0,0.659047619047619,0.8543531326281529,0.9983755102040817,1050,0,358,692
EfficientNet-B0,FT-3,StyleGAN2,True,2024,0.7861904761904762,0.7004669779853235,1.0,0.5723809523809524,0.8238524911730091,0.9963151927437642,1050,0,449,601
EfficientNet-B0,FT-3,StyleGAN3,True,42,0.7771428571428571,0.6955645161290323,0.9857142857142858,0.5685714285714286,0.8156028368794326,0.9733324263038547,1035,15,453,597
EfficientNet-B0,FT-3,StyleGAN3,True,123,0.8233333333333334,0.7433691756272401,0.9876190476190476,0.659047619047619,0.8482617586912066,0.98166485260771,1037,13,358,692
EfficientNet-B0,FT-3,StyleGAN3,True,2024,0.7833333333333333,0.6992632283991963,0.9942857142857143,0.5723809523809524,0.8210774675580024,0.9849913832199547,1044,6,449,601
EfficientNet-B0,FT-3,SDXL,True,42,0.7671428571428571,0.6912065439672802,0.9657142857142857,0.5685714285714286,0.8057210965435042,0.9189682539682539,1014,36,453,597
EfficientNet-B0,FT-3,SDXL,True,123,0.8204761904761905,0.7422606191504679,0.981904761904762,0.659047619047619,0.8454284542845428,0.9744721088435374,1031,19,358,692
EfficientNet-B0,FT-3,SDXL,True,2024,0.7776190476190477,0.6968264686022958,0.9828571428571429,0.5723809523809524,0.8154879494271039,0.9587478458049887,1032,18,449,601
EfficientNet-B0,FT-3,Flux,True,42,0.7842857142857143,0.6986027944111777,1.0,0.5685714285714286,0.8225616921269095,0.9854489795918367,1050,0,453,597
EfficientNet-B0,FT-3,Flux,True,123,0.829047619047619,0.7455579246624022,0.9990476190476191,0.659047619047619,0.8538868538868539,0.9955469387755103,1049,1,358,692
EfficientNet-B0,FT-3,Flux,True,2024,0.7857142857142857,0.7002670226969292,0.9990476190476191,0.5723809523809524,0.8233908948194663,0.9932394557823129,1049,1,449,601
ResNet-50,Inicial,StyleGAN2,True,42,0.7690476190476191,0.6845199216198563,0.9980952380952381,0.54,0.8120883378535452,0.9876675736961451,1048,2,483,567
ResNet-50,Inicial,StyleGAN2,True,123,0.8014285714285714,0.7160409556313994,0.9990476190476191,0.6038095238095238,0.8341948310139164,0.9909736961451248,1049,1,416,634
ResNet-50,Inicial,StyleGAN2,True,2024,0.8276190476190476,0.7443181818181818,0.9980952380952381,0.6571428571428571,0.8527257933279089,0.9935954648526077,1048,2,360,690
ResNet-50,Inicial,StyleGAN3,False,42,0.7547619047619047,0.6782145236508994,0.9695238095238096,0.54,0.7981183849470795,0.9225777777777777,1018,32,483,567
ResNet-50,Inicial,StyleGAN3,False,123,0.7776190476190477,0.7060070671378091,0.9514285714285714,0.6038095238095238,0.8105476673427991,0.9119183673469388,999,51,416,634
ResNet-50,Inicial,StyleGAN3,False,2024,0.8038095238095239,0.7349042709867453,0.9504761904761905,0.6571428571428571,0.8289036544850499,0.9235396825396827,998,52,360,690
ResNet-50,Inicial,SDXL,False,42,0.7547619047619047,0.6782145236508994,0.9695238095238096,0.54,0.7981183849470795,0.9072535147392291,1018,32,483,567
ResNet-50,Inicial,SDXL,False,123,0.7785714285714286,0.7064220183486238,0.9533333333333334,0.6038095238095238,0.8115119578435347,0.924742403628118,1001,49,416,634
ResNet-50,Inicial,SDXL,False,2024,0.7904761904761904,0.7293233082706767,0.9238095238095239,0.6571428571428571,0.8151260504201681,0.9151664399092971,970,80,360,690
ResNet-50,Inicial,Flux,False,42,0.7542857142857143,0.678,0.9685714285714285,0.54,0.7976470588235294,0.9198961451247165,1017,33,483,567
ResNet-50,Inicial,Flux,False,123,0.78,0.7070422535211267,0.9561904761904761,0.6038095238095238,0.8129554655870446,0.9232104308390023,1004,46,416,634
ResNet-50,Inicial,Flux,False,2024,0.8080952380952381,0.7366495976591075,0.959047619047619,0.6571428571428571,0.8332643773272652,0.9439269841269842,1007,43,360,690
ResNet-50,FT-1,StyleGAN2,True,42,0.699047619047619,0.6242568370986921,1.0,0.3980952380952381,0.7686676427525623,0.9920634920634921,1050,0,632,418
ResNet-50,FT-1,StyleGAN2,True,123,0.699047619047619,0.6242568370986921,1.0,0.3980952380952381,0.7686676427525623,0.9931510204081632,1050,0,632,418
ResNet-50,FT-1,StyleGAN2,True,2024,0.7666666666666667,0.6818181818181818,1.0,0.5333333333333333,0.8108108108108109,0.994946485260771,1050,0,490,560
ResNet-50,FT-1,StyleGAN3,True,42,0.6933333333333334,0.6215568862275449,0.9885714285714285,0.3980952380952381,0.763235294117647,0.9458961451247165,1038,12,632,418
ResNet-50,FT-1,StyleGAN3,True,123,0.6966666666666667,0.6231365533691116,0.9952380952380953,0.3980952380952381,0.7664099743307664,0.9509519274376417,1045,5,632,418
